province_state,date,confirmed,deaths,active
Kentucky,2020-07-14,909,37,872
Iowa,2020-07-14,23,1,22
California,2020-07-14,6759,98,6661
Texas,2020-07-14,190,1,189
South Carolina,2020-07-14,892,17,875
Alaska,2020-07-14,23,0,23
Wisconsin,2020-07-14,83,1,82
Michigan,2020-07-14,2,0,2
Nebraska,2020-07-14,0,0,0
North Dakota,2020-07-14,3,0,3
Nebraska,2020-07-14,13,0,13
Texas,2020-07-14,9,0,9
Washington,2020-07-14,12213,624,11589
Virginia,2020-07-14,104,4,100
Virginia,2020-07-14,58,2,56
Virginia,2020-07-14,30,1,29
Oklahoma,2020-07-14,50,0,50
Kansas,2020-07-14,5,0,5
California,2020-07-14,3078,40,3038
South Dakota,2020-07-14,8,0,8
Texas,2020-07-14,3,0,3
Kansas,2020-07-14,3,0,3
Oklahoma,2020-07-14,17,1,16
Colorado,2020-07-14,37,3,34
Washington,2020-07-14,312,2,310
Washington,2020-07-14,185,0,185
Minnesota,2020-07-14,2,0,2
Oregon,2020-07-14,140,1,139
Texas,2020-07-14,186,1,185
Washington,2020-07-14,79,3,76
Kentucky,2020-07-14,23,0,23
Illinois,2020-07-14,175,0,175
Indiana,2020-07-14,73,0,73
Kentucky,2020-07-14,106,5,101
Maine,2020-07-14,25,1,24
Missouri,2020-07-14,2,0,2
Nebraska,2020-07-14,26,0,26
Ohio,2020-07-14,59,1,58
Tennessee,2020-07-14,1815,12,1803
Texas,2020-07-14,10,0,10
Alaska,2020-07-14,6,0,6
Minnesota,2020-07-14,24,1,23
Idaho,2020-07-14,747,1,746
Indiana,2020-07-14,587,4,583
Iowa,2020-07-14,43,0,43
Alaska,2020-07-14,2,0,2
Wisconsin,2020-07-14,611,0,611
Arizona,2020-07-14,412,7,405
Colorado,2020-07-14,146,1,145
Texas,2020-07-14,87,0,87
Indiana,2020-07-14,491,10,481
North Dakota,2020-07-14,14,0,14
Indiana,2020-07-14,639,28,611
Illinois,2020-07-14,280,17,263
